"","Kingdom","Phylum","Class","Order","Family","Genus","Scientific.Name"
"355","Animalia","Chordata","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes"
"356","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"357","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"358","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"359","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"360","Animalia","Chordata","Aves","Pelecaniformes","Fregatidae","Fregata","Fregata"
"361","Animalia","Chordata","Reptilia","Squamata","Agamidae","Chlamydosaurus","Chlamydosaurus kingii"
"362","Animalia","Chordata","Chondrichthyes","Hexanchiformes","Chlamydoselachidae","Chlamydoselachus","Chlamydoselachus anguineus"
"363","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalinae"
"364","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Spheniscus","Spheniscus Mendiculus"
"365","Animalia","Chordata","Reptilia","Testudines","Testudinidae","Chelonoidis","Chelonoidis nigra"
"366","Animalia","Chordata","Mammalia","Carnivora","Viverridae","Genetta","Genetta genetta"
"367","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Pygoscelis","Pygoscelis papua"
"368","Animalia","Chordata","Mammalia","Primates","Callitrichidae","Saguinus","Saguinus Geoffroyi"
"369","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"370","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"371","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"372","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"373","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"374","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"375","Animalia","Chordata","Reptilia","Crocodilia","Gavialidae","Gavialis","Gavialis gangeticus"
"376","Animalia","Mollusca","Gastropoda","Achatinoidea","Achatinidae","Achatina","Achatina fulica"
"377","Animalia","Chordata","Mammalia","Cingulata","Chlamyphoridae","Priodontes","Priodontes maximus"
"378","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Tridacna","Tridacna gigas"
"379","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ailuropoda","Ailuropoda melanoleuca"
"380","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"381","Animalia","Chordata","Mammalia"," Carnivora"," Canidae","Canis","Canis lupus"
"382","Animalia","Chordata","Mammalia","Primates","Hylobatidae","Hylobates","Hylobatidae"
"383","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma suspectum"
"384","Animalia","Chordata","Mammalia","Artiodactyla","Giraffidae","Giraffa","Giraffa camelopardalis"
"385","Animalia","Chordata","Reptilia","Squamata","Anguidae","Ophisaurus","Ophisaurus"
"386","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"387","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"388","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"389","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"390","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"391","Animalia","Chordata","Mammalia","Primates","Callitrichidae","Leontopithecus","Leontopithecus rosalia"
"392","Animalia","Chordata","Aves","Strigiformes","Tytonidae","Tyto","Tyto aurantia"
"393","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"394","Animalia","Chordata","Aves","Passeriformes","Oriolidae","Oriolus","Oriolus oriolus"
"395","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"396","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"397","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"398","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"399","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Acerodon","Acerodon jubatus"
"400","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"401","Animalia","Chordata","Amphibia","Anura","Conrauidae","Conraua","Conraua goliath"
"402","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","Geomys","Geomys bursarius"
"403","Animalia","Chordata","Reptilia","Testudines","Testudinidae","Gopherus","Gopherus polyphemus"
"404","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"405","Animalia","Chordata","Aves","Passeriformes","Estrildidae","Erythrura","Erythrura gouldiae"
"406","Animalia","Chordata","Mammalia","Carnivora","Canidae","Urocyon","Urocyon cinereoargenteus"
"407","Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","Hyla versicolor"
"408","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea herodias"
"409","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","Myiarchus crinitus"
"410","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
